datecollected,siteid,sampleid,basisofrecord,minimumdepthinmeters,maximumdepthinmeters,taxaname,taxanameid,samplingeffort,parameter,parameter_value,parameter_standardunit
2008-09-26,AAI,AAI_20080926,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2011-09-20,AAI,AAI_20110920,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2017-10-11,AAI,AAI_20171011,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,4.0,Ind
2020-10-08,AAI,AAI_20201008,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2008-07-01,AAI,AAI_20080701,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2008-09-26,AAI,AAI_20080926,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2002-09-19,AAI,AAI_20020919,HumanObservation,0.0,4.0,Anguilla anguilla,126281,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2005-09-26,AAI,AAI_20050926,HumanObservation,0.0,4.0,Anguilla anguilla,126281,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-07-01,AAI,AAI_20080701,HumanObservation,0.0,4.0,Anguilla anguilla,126281,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2008-07-01,AAI,AAI_20080701,HumanObservation,0.0,4.0,Syngnathus typhle,127393,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2005-09-26,AAI,AAI_20050926,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2011-09-20,AAI,AAI_20110920,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,4.0,ind
2017-10-11,AAI,AAI_20171011,HumanObservation,0.0,4.0,Diplodus vulgaris,127054,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2008-04-11,AAI,AAI_20080411,HumanObservation,0.0,4.0,Chelon labrosus,126977,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2005-09-26,AAI,AAI_20050926,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2014-09-15,AAI,AAI_20140915,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2017-10-11,AAI,AAI_20171011,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,Ind
2002-09-19,AAI,AAI_20020919,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,24.0,ind
2005-09-26,AAI,AAI_20050926,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,25.0,ind
2008-04-11,AAI,AAI_20080411,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2011-09-20,AAI,AAI_20110920,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-07-01,AAI,AAI_20080701,HumanObservation,0.0,4.0,Platichthys flesus,127141,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-09-26,AAM,AAM_20080926,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2014-09-15,AAM,AAM_20140915,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2017-10-11,AAM,AAM_20171011,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2020-10-08,AAM,AAM_20201008,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,Ind
2008-07-01,AAM,AAM_20080701,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-09-26,AAM,AAM_20080926,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2017-10-11,AAM,AAM_20171011,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2002-09-19,AAM,AAM_20020919,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,11.0,ind
2008-04-11,AAM,AAM_20080411,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,11.0,ind
2008-07-01,AAM,AAM_20080701,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-09-26,AAM,AAM_20080926,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2011-09-20,AAM,AAM_20110920,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2014-09-15,AAM,AAM_20140915,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2017-10-11,AAM,AAM_20171011,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,4.0,Ind
2020-10-08,AAM,AAM_20201008,HumanObservation,0.0,4.0,Liocarcinus navigator,107392,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2005-09-26,AAM,AAM_20050926,HumanObservation,0.0,4.0,Anguilla anguilla,126281,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2008-07-01,AAM,AAM_20080701,HumanObservation,0.0,4.0,Anguilla anguilla,126281,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2005-09-26,AAM,AAM_20050926,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-09-26,AAM,AAM_20080926,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2011-09-20,AAM,AAM_20110920,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2017-10-11,AAM,AAM_20171011,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2011-09-20,AAM,AAM_20110920,HumanObservation,0.0,4.0,Diplodus cervinus,127051,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2005-09-26,AAM,AAM_20050926,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2008-09-26,AAM,AAM_20080926,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2014-09-15,AAM,AAM_20140915,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2020-10-08,AAM,AAM_20201008,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,Ind
2002-09-19,AAM,AAM_20020919,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,7.0,ind
2005-09-26,AAM,AAM_20050926,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,23.0,ind
2002-09-19,AAM,AAM_20020919,HumanObservation,0.0,4.0,Platichthys flesus,127141,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
